Resnorm	Droptol	Fillfactor
-0.0	1e-12	9
-0.0	0.0001	9
-59366900.0	10000	9
-5.16043e-11	1e-12	4
-4.97305e-11	0.0001	4
-59366900.0	10000	4
-59366900.0	1e-12	0
-59366900.0	0.0001	0
-59366900.0	10000	0
-4.97305e-11	0.0001	4.0
-0.0	1e-08	7.0
-0.0	1e-12	6.0
-0.0	0.0001	6.0
-0.0	1e-08	9.0
-5.16043e-11	1e-10	4.0
-0.112483	0.01	8.0
-0.0	1e-10	9.0
-0.0	1e-10	5.0
-0.0	1e-06	5.0
-0.112483	0.01	9.0
-0.0	0.0001	6.0
-0.112483	0.01	9.0
-0.0	1e-06	9.0
-0.0	0.0001	5.0
-0.062998	0.01	5.0
-0.0	1e-12	5.0
-0.0	1e-10	8.0
-0.0	1e-06	8.0
-0.0	1e-08	5.0
-5.16043e-11	1e-10	4.0
-0.0	0.0001	8.0
-0.0	1e-08	8.0
-59366900.0	1	7.0
-0.0887603	0.01	4.0
-35432.1	1e-08	2.0
-32.4894	1e-06	3.0
-59366900.0	1e-08	0.0
-29.7815	1e-08	3.0
-0.062998	0.01	5.0
-59366900.0	1	2.0
-35432.1	1e-10	2.0
-0.0	1e-06	6.0
-0.0	1e-10	6.0
-0.0	1e-12	8.0
-0.0	0.0001	8.0
-29.7819	1e-12	3.0
-32.4894	0.0001	3.0
-32.4894	0.0001	3.0
-4.97297e-11	1e-06	4.0
-0.112483	0.01	7.0
-29.7819	1e-10	3.0
-29.7815	1e-08	3.0
-0.0	1e-12	9.0
-0.0887603	0.01	4.0
-59366900.0	1	9.0
-36177.7	1e-06	2.0
-59366900.0	1	4.0
-29.7819	1e-12	3.0
-0.0	1e-08	8.0
-0.0	1e-10	6.0
-36177.7	1e-06	2.0
-0.0	0.0001	9.0
-0.0	1e-06	5.0
-59366900.0	100	0.0
-0.0	1e-08	9.0
-36177.7	1e-06	2.0
-29.7819	1e-12	3.0
-59366900.0	10000	6.0
-0.0	0.0001	7.0
-0.112483	0.01	8.0
-0.0	1e-10	5.0
-0.0	1e-06	8.0
-0.112675	0.01	6.0
-0.062998	0.01	5.0
-144.168	0.01	3.0
-107943000.0	1e-10	1.0
-29.7819	1e-10	3.0
-5.15944e-11	1e-08	4.0
-0.0	0.0001	5.0
-59366900.0	0.01	0.0
-59366900.0	100	2.0
-0.0	1e-06	9.0
-59366900.0	1e-06	0.0
-0.0	1e-08	6.0
-36177.7	0.0001	2.0
-0.0	1e-06	7.0
-120769.0	0.01	2.0
-0.0	1e-08	7.0
-0.0	1e-12	5.0
-4.97297e-11	1e-06	4.0
-0.0	1e-12	7.0
-0.0	1e-10	7.0
-32.4894	1e-06	3.0
-0.112483	0.01	7.0
-32.4894	0.0001	3.0
-5.16043e-11	1e-10	4.0
-0.0	1e-08	6.0
-0.112483	0.01	9.0
-0.0	0.0001	8.0
-36177.7	0.0001	2.0
-0.0	1e-10	8.0
-0.0	1e-12	8.0
-120769.0	0.01	2.0
-0.0	1e-12	6.0
-0.0	1e-08	7.0
-0.0	0.0001	6.0
-29.7815	1e-08	3.0
-0.0	1e-08	8.0
-35432.1	1e-12	2.0
-0.0	0.0001	5.0
-59366900.0	100	5.0
-0.0	0.0001	7.0
-120769.0	0.01	2.0
-0.0	0.0001	9.0
-0.0887603	0.01	4.0
-35432.1	1e-08	2.0
-0.0	1e-06	9.0
-0.112675	0.01	6.0
-0.112483	0.01	8.0
-0.0	1e-10	6.0
-5.15944e-11	1e-08	4.0
-59366900.0	10000	2.0
-29.7819	1e-10	3.0
-0.0	1e-06	5.0
-36177.7	1e-06	2.0
-0.112675	0.01	6.0
-0.0	1e-06	5.0
-29.7819	1e-12	3.0
-4.97305e-11	0.0001	4.0
-0.0	1e-10	7.0
-0.0	1e-08	8.0
-36177.7	0.0001	2.0
-0.0	1e-06	6.0
-59366900.0	100	9.0
-29.7815	1e-08	3.0
-0.0	1e-06	6.0
-5.16043e-11	1e-12	4.0
-36177.7	1e-06	2.0
-0.0	1e-12	7.0
-144.168	0.01	3.0
-0.0	1e-10	9.0
-5.16043e-11	1e-10	4.0
-0.0	0.0001	7.0
-36177.7	1e-06	2.0
-0.0	1e-06	7.0
-4.97305e-11	0.0001	4.0
-4.97297e-11	1e-06	4.0
-0.0	0.0001	7.0
-0.112483	0.01	8.0
-35432.1	1e-08	2.0
-0.0	0.0001	8.0
-32.4894	1e-06	3.0
-100064000.0	0.0001	1.0
-36177.7	0.0001	2.0
-120769.0	0.01	2.0
-120769.0	0.01	2.0
-0.0	1e-08	5.0
-0.0	1e-08	5.0
-0.112483	0.01	8.0
-0.0	1e-12	8.0
-0.0	1e-06	8.0
-0.112483	0.01	7.0
-0.0	1e-10	6.0
-0.112483	0.01	7.0
-0.0	1e-12	6.0
-32.4894	0.0001	3.0
-0.0	1e-06	5.0
-0.0	0.0001	5.0
-0.0	1e-08	6.0
-0.0	1e-10	9.0
-0.0	1e-08	8.0
-0.0	1e-10	5.0
-107943000.0	1e-08	1.0
-35432.1	1e-08	2.0
-100064000.0	1e-06	1.0
-36177.7	1e-06	2.0
-59366900.0	100	7.0
-0.112483	0.01	8.0
-59366900.0	1	0.0
-0.0887603	0.01	4.0
-59366900.0	1	1.0
-0.0	1e-08	7.0
-59366900.0	1	1.0
-59366900.0	10000	7.0
-32.4894	1e-06	3.0
-0.0	1e-10	6.0
-0.0	1e-06	7.0
-59366900.0	1	3.0
-35432.1	1e-08	2.0
-59366900.0	100	1.0
-59366900.0	10000	5.0
-59366900.0	1	9.0
-0.0	1e-08	7.0
-107943000.0	1e-12	1.0
-100064000.0	1e-06	1.0
-59366900.0	1	6.0
-29.7815	1e-08	3.0
-100061000.0	0.01	1.0
-59366900.0	1e-10	0.0
-0.0	1e-12	7.0
-120769.0	0.01	2.0
-120769.0	0.01	2.0
-0.0	1e-08	5.0
-0.0	1e-08	6.0
-0.0	1e-08	8.0
-29.7819	1e-12	3.0
-0.0	1e-06	7.0
-59366900.0	1	8.0
-36177.7	0.0001	2.0
