Resnorm	Droptol	Fillfactor
-0.0	1e-12	9
-0.0	0.0001	9
-5936690000.0	10000	9
-5.0573e-09	1e-12	4
-5.03859e-09	0.0001	4
-5936690000.0	10000	4
-5936690000.0	1e-12	0
-5936690000.0	0.0001	0
-5936690000.0	10000	0
-5.03859e-09	0.0001	4.0
-0.0	1e-08	7.0
-0.0	1e-12	6.0
-0.0	0.0001	6.0
-0.0	1e-08	9.0
-5.0573e-09	1e-10	4.0
-11.4851	0.01	8.0
-0.0	1e-10	9.0
-0.0	1e-10	5.0
-0.0	1e-06	5.0
-11.4851	0.01	9.0
-0.0	0.0001	6.0
-0.0	0.0001	5.0
-0.0	1e-06	8.0
-11.4851	0.01	8.0
-6.43572	0.01	5.0
-0.0	1e-12	5.0
-0.0	1e-10	8.0
-0.0	1e-08	5.0
-5.0573e-09	1e-10	4.0
-0.0	1e-06	6.0
-0.0	1e-08	8.0
-0.0	1e-12	8.0
-3258.87	1e-08	3.0
-5936690000.0	1	7.0
-14468.8	0.01	3.0
-3258.87	1e-06	3.0
-5936690000.0	1e-08	0.0
-9.03838	0.01	4.0
-5936690000.0	1	1.0
-0.0	1e-06	9.0
-5936690000.0	1	4.0
-12004300.0	0.01	2.0
-11.5047	0.01	6.0
-2959.03	1e-10	3.0
-0.0	0.0001	8.0
-0.0	1e-10	7.0
-2959.03	1e-12	3.0
-5936690000.0	1	9.0
-5.03859e-09	1e-08	4.0
-14468.8	0.01	3.0
-12004300.0	0.01	2.0
-0.0	1e-08	8.0
-3258.87	0.0001	3.0
-3550590.0	1e-06	2.0
-0.0	0.0001	5.0
-0.0	1e-10	6.0
-3258.87	1e-08	3.0
-11.4851	0.01	9.0
-5936690000.0	10000	6.0
-0.0	1e-06	5.0
-0.0	1e-12	9.0
-0.0	1e-08	5.0
-0.0	0.0001	9.0
-10794300000.0	1e-10	1.0
-2959.03	1e-10	3.0
-2959.03	1e-12	3.0
-2959.03	1e-12	3.0
-5936690000.0	100	2.0
-0.0	1e-08	9.0
-5.03859e-09	1e-06	4.0
-0.0	1e-06	7.0
-3258.87	0.0001	3.0
-3550590.0	1e-06	2.0
-10006100000.0	0.01	1.0
-5936690000.0	1e-06	0.0
-0.0	0.0001	7.0
-11.4851	0.01	7.0
-3550590.0	1e-06	2.0
-6.43572	0.01	5.0
-0.0	1e-10	5.0
-5936690000.0	100	0.0
-3258.87	1e-06	3.0
-0.0	0.0001	6.0
-0.0	1e-06	9.0
-3258.87	0.0001	3.0
-0.0	1e-10	8.0
-5936690000.0	100	9.0
-5.03859e-09	1e-06	4.0
-11.4851	0.01	8.0
-11.5047	0.01	6.0
-0.0	1e-12	5.0
-5936690000.0	100	5.0
-0.0	1e-12	7.0
-2959.03	1e-10	3.0
-0.0	1e-06	7.0
-14468.8	0.01	3.0
-3550590.0	1e-08	2.0
-5936690000.0	1	2.0
-0.0	0.0001	8.0
-0.0	1e-08	6.0
-5.0573e-09	1e-10	4.0
-0.0	1e-08	7.0
-0.0	1e-12	6.0
-0.0	1e-10	8.0
-3540290.0	1e-12	2.0
-0.0	1e-08	5.0
-0.0	1e-08	8.0
-9.03838	0.01	4.0
-5936690000.0	10000	2.0
-3550590.0	0.0001	2.0
-0.0	0.0001	7.0
-9.03838	0.01	4.0
-0.0	1e-08	7.0
-5.03859e-09	1e-08	4.0
-0.0	1e-06	5.0
-0.0	1e-06	6.0
-2959.03	1e-10	3.0
-0.0	1e-12	8.0
-0.0	1e-10	7.0
-3550590.0	0.0001	2.0
-0.0	1e-06	8.0
-0.0	0.0001	5.0
-5.03859e-09	1e-08	4.0
-3550590.0	0.0001	2.0
-0.0	1e-10	6.0
-5.03859e-09	0.0001	4.0
-0.0	1e-08	7.0
-3550590.0	1e-08	2.0
-0.0	0.0001	6.0
-0.0	0.0001	5.0
-0.0	1e-08	6.0
-11.5047	0.01	6.0
-11.4851	0.01	7.0
-0.0	1e-06	5.0
-11.4851	0.01	9.0
-10006400000.0	1e-08	1.0
-3550590.0	1e-08	2.0
-3550590.0	1e-06	2.0
-3550590.0	1e-08	2.0
-3550590.0	1e-08	2.0
-0.0	1e-12	7.0
-3258.87	0.0001	3.0
-0.0	1e-10	9.0
-11.4851	0.01	8.0
-0.0	1e-08	8.0
-11.4851	0.01	7.0
-0.0	1e-12	8.0
-5.0573e-09	1e-12	4.0
-0.0	0.0001	9.0
-0.0	1e-10	5.0
-11.4851	0.01	7.0
-11.5047	0.01	6.0
-3550590.0	1e-06	2.0
-5.03859e-09	1e-06	4.0
-0.0	0.0001	8.0
-0.0	1e-06	8.0
-0.0	1e-10	5.0
-0.0	1e-12	9.0
-0.0	1e-10	9.0
-3550590.0	0.0001	2.0
-0.0	1e-06	5.0
-14468.8	0.01	3.0
-0.0	1e-06	7.0
-3540290.0	1e-10	2.0
-11.4851	0.01	7.0
-3550590.0	1e-06	2.0
-0.0	1e-10	6.0
-3540290.0	1e-12	2.0
-0.0	1e-12	6.0
-0.0	1e-08	7.0
-0.0	0.0001	9.0
-0.0	0.0001	7.0
-6.43572	0.01	5.0
-3258.87	1e-08	3.0
-0.0	1e-08	9.0
-0.0	1e-10	6.0
-0.0	1e-12	5.0
-0.0	1e-06	7.0
-0.0	1e-10	8.0
-5.03859e-09	1e-08	4.0
-0.0	0.0001	5.0
-0.0	0.0001	6.0
-5.03859e-09	1e-06	4.0
-0.0	1e-10	7.0
-0.0	1e-12	6.0
-2959.03	1e-12	3.0
-0.0	1e-06	9.0
-0.0	1e-08	5.0
-0.0	1e-08	7.0
-3258.87	1e-08	3.0
-3258.87	0.0001	3.0
-0.0	1e-06	8.0
-0.0	0.0001	8.0
-2959.03	1e-10	3.0
-5.0573e-09	1e-10	4.0
-0.0	1e-08	6.0
-0.0	0.0001	8.0
-6.43572	0.01	5.0
-3258.87	1e-06	3.0
-5.0573e-09	1e-10	4.0
-0.0	1e-10	7.0
-11.4851	0.01	8.0
-5.03859e-09	0.0001	4.0
-9.03838	0.01	4.0
-0.0	1e-08	5.0
-3258.87	0.0001	3.0
-2959.03	1e-10	3.0
-0.0	0.0001	8.0
-5.03859e-09	0.0001	4.0
