Resnorm	Droptol	Fillfactor
-0.0	1e-12	9
-0.0	0.0001	9
-59366900000000.0	10000	9
-5.04611e-05	1e-12	4
-5.04592e-05	0.0001	4
-59366900000000.0	10000	4
-59366900000000.0	1e-12	0
-59366900000000.0	0.0001	0
-59366900000000.0	10000	0
-5.04592e-05	0.0001	4.0
-0.0	1e-08	7.0
-0.0	1e-12	6.0
-0.0	0.0001	6.0
-0.0	1e-08	9.0
-5.04592e-05	1e-10	4.0
-115115.0	0.01	8.0
-0.0	1e-10	9.0
-1.8603e-14	1e-10	5.0
-1.86031e-14	1e-06	5.0
-115115.0	0.01	9.0
-0.0	0.0001	6.0
-115115.0	0.01	9.0
-0.0	1e-06	9.0
-1.86031e-14	0.0001	5.0
-64508.4	0.01	5.0
-1.86043e-14	1e-12	5.0
-0.0	1e-10	8.0
-0.0	1e-06	8.0
-1.86031e-14	1e-08	5.0
-5.04592e-05	1e-10	4.0
-0.0	0.0001	8.0
-0.0	1e-12	8.0
-59366900000000.0	1	7.0
-90564.0	0.01	4.0
-36140300000.0	1e-08	2.0
-32564900.0	1e-06	3.0
-59366900000000.0	1e-08	0.0
-32564900.0	1e-08	3.0
-64508.4	0.01	5.0
-59366900000000.0	1	2.0
-32564900.0	1e-10	3.0
-0.0	1e-08	8.0
-0.0	1e-06	6.0
-115115.0	0.01	7.0
-0.0	1e-10	6.0
-32346900.0	1e-12	3.0
-32564900.0	0.0001	3.0
-32564900.0	0.0001	3.0
-59366900000000.0	1	9.0
-115311.0	0.01	6.0
-0.0	1e-12	9.0
-32564900.0	1e-08	3.0
-32564900.0	1e-10	3.0
-32346900.0	1e-12	3.0
-36140300000.0	1e-06	2.0
-5.04592e-05	1e-06	4.0
-59366900000000.0	1	4.0
-90564.0	0.01	4.0
-0.0	1e-08	8.0
-0.0	1e-10	6.0
-36140300000.0	1e-06	2.0
-0.0	1e-08	9.0
-1.86031e-14	1e-06	5.0
-59366900000000.0	100	0.0
-0.0	0.0001	9.0
-0.0	0.0001	7.0
-36140300000.0	1e-06	2.0
-59366900000000.0	10000	6.0
-1.8603e-14	1e-10	5.0
-115115.0	0.01	8.0
-0.0	1e-06	8.0
-32346900.0	1e-12	3.0
-32564900.0	0.0001	3.0
-0.0	0.0001	6.0
-64508.4	0.01	5.0
-100064000000000.0	1e-10	1.0
-32564900.0	1e-10	3.0
-5.04592e-05	1e-08	4.0
-144755000.0	0.01	3.0
-59366900000000.0	0.01	0.0
-59366900000000.0	100	2.0
-0.0	1e-06	9.0
-59366900000000.0	1e-06	0.0
-0.0	1e-08	6.0
-36140300000.0	0.0001	2.0
-0.0	1e-06	7.0
-0.0	0.0001	8.0
-5.04592e-05	1e-06	4.0
-1.86043e-14	1e-12	5.0
-0.0	1e-12	7.0
-0.0	1e-08	7.0
-120774000000.0	0.01	2.0
-1.86031e-14	0.0001	5.0
-0.0	1e-10	8.0
-32564900.0	1e-06	3.0
-115311.0	0.01	6.0
-5.04592e-05	1e-10	4.0
-0.0	1e-12	8.0
-0.0	1e-10	7.0
-0.0	1e-08	6.0
-35606400000.0	1e-12	2.0
-115115.0	0.01	9.0
-36140300000.0	1e-06	2.0
-0.0	1e-12	6.0
-36140300000.0	0.0001	2.0
-0.0	1e-08	8.0
-32564900.0	1e-08	3.0
-0.0	1e-08	7.0
-59366900000000.0	100	5.0
-0.0	0.0001	9.0
-0.0	0.0001	7.0
-5.04592e-05	1e-08	4.0
-1.86031e-14	1e-06	5.0
-59366900000000.0	10000	2.0
-120774000000.0	0.01	2.0
-115115.0	0.01	8.0
-0.0	1e-06	9.0
-115311.0	0.01	6.0
-0.0	1e-10	6.0
-90564.0	0.01	4.0
-1.86031e-14	1e-06	5.0
-0.0	1e-10	8.0
-36140300000.0	0.0001	2.0
-0.0	1e-06	6.0
-0.0	1e-10	7.0
-32564900.0	1e-08	3.0
-0.0	0.0001	6.0
-32346900.0	1e-12	3.0
-0.0	1e-12	7.0
-5.04592e-05	1e-06	4.0
-5.04592e-05	1e-10	4.0
-1.86031e-14	1e-08	5.0
-115311.0	0.01	6.0
-0.0	1e-08	8.0
-32564900.0	1e-10	3.0
-0.0	0.0001	7.0
-32564900.0	1e-10	3.0
-144755000.0	0.01	3.0
-0.0	0.0001	8.0
-5.04592e-05	0.0001	4.0
-5.04611e-05	1e-12	4.0
-0.0	1e-06	7.0
-90564.0	0.01	4.0
-0.0	1e-10	9.0
-1.86031e-14	0.0001	5.0
-120774000000.0	0.01	2.0
-144755000.0	0.01	3.0
-115115.0	0.01	7.0
-36140300000.0	1e-06	2.0
-36140300000.0	1e-06	2.0
-59366900000000.0	100	9.0
-5.04592e-05	0.0001	4.0
-115115.0	0.01	7.0
-115115.0	0.01	8.0
-0.0	1e-12	6.0
-0.0	1e-06	8.0
-1.86031e-14	1e-08	5.0
-0.0	1e-12	8.0
-115115.0	0.01	8.0
-36140300000.0	0.0001	2.0
-0.0	0.0001	6.0
-0.0	1e-10	6.0
-115115.0	0.01	8.0
-0.0	1e-06	8.0
-1.8603e-14	1e-10	5.0
-115115.0	0.01	7.0
-0.0	1e-08	8.0
-120774000000.0	0.01	2.0
-32564900.0	0.0001	3.0
-1.86031e-14	1e-06	5.0
-35606400000.0	1e-12	2.0
-36140300000.0	1e-08	2.0
-1.86031e-14	1e-06	5.0
-36140300000.0	1e-08	2.0
-0.0	1e-06	8.0
-32564900.0	1e-06	3.0
-100064000000000.0	0.0001	1.0
-120774000000.0	0.01	2.0
-0.0	1e-08	9.0
-0.0	0.0001	7.0
-59366900000000.0	1	9.0
-0.0	1e-08	6.0
-100064000000000.0	1e-08	1.0
-36140300000.0	1e-08	2.0
-32564900.0	1e-06	3.0
-36140300000.0	1e-06	2.0
-100064000000000.0	1e-06	1.0
-36140300000.0	0.0001	2.0
-59366900000000.0	100	7.0
-59366900000000.0	10000	7.0
-59366900000000.0	1	0.0
-5.04592e-05	1e-08	4.0
-59366900000000.0	10000	5.0
-0.0	1e-10	6.0
-32564900.0	1e-08	3.0
-0.0	1e-08	6.0
-32564900.0	1e-06	3.0
-1.86043e-14	1e-12	5.0
-0.0	1e-12	7.0
-59366900000000.0	1	6.0
-64508.4	0.01	5.0
-59366900000000.0	1	3.0
-115115.0	0.01	7.0
-59366900000000.0	1	8.0
-59366900000000.0	100	1.0
-64508.4	0.01	5.0
-90564.0	0.01	4.0
-107943000000000.0	1e-12	1.0
-59366900000000.0	1e-10	0.0
