Resnorm	Droptol	Fillfactor
-0.0	1e-12	9
-0.0	0.0001	9
-59.3759	10000	9
-4.29859e-09	1e-12	4
-7.99048e-12	0.0001	4
-59.3759	10000	4
-59.3759	1e-12	0
-59.3759	0.0001	0
-59.3759	10000	0
-7.99048e-12	0.0001	4.0
-0.0	1e-08	7.0
-0.0	1e-12	6.0
-0.0	0.0001	6.0
-0.0	1e-08	9.0
-4.29859e-09	1e-10	4.0
-2.22714e-11	0.01	8.0
-0.0	1e-10	9.0
-6.42619e-13	1e-10	5.0
-6.03502e-13	1e-06	5.0
-2.22714e-11	0.01	9.0
-0.0	0.0001	6.0
-7.04955e-17	0.0001	5.0
-0.0	1e-06	8.0
-2.22714e-11	0.01	8.0
-7.77558e-11	0.01	5.0
-6.4262e-13	1e-12	5.0
-0.0	1e-10	8.0
-6.41788e-13	1e-08	5.0
-4.29859e-09	1e-10	4.0
-0.0	1e-06	6.0
-0.0	1e-12	8.0
-0.0	1e-08	8.0
-0.000256628	1e-08	3.0
-59.3759	1	7.0
-3.13479e-05	0.01	3.0
-0.000256496	1e-06	3.0
-59.3759	1e-08	0.0
-2.03243e-09	0.01	4.0
-59.3759	1	1.0
-0.0	1e-06	9.0
-59.3759	1	4.0
-0.0192651	0.01	2.0
-2.22819e-11	0.01	6.0
-0.000256629	1e-10	3.0
-0.0	0.0001	8.0
-0.0	1e-10	7.0
-0.000256629	1e-12	3.0
-59.3759	1	9.0
-0.0	1e-08	8.0
-3.13479e-05	0.01	3.0
-4.29672e-09	1e-08	4.0
-0.0311713	0.0001	2.0
-0.0791201	1e-06	2.0
-0.0192651	0.01	2.0
-7.04955e-17	0.0001	5.0
-0.0	1e-10	6.0
-0.000256628	1e-08	3.0
-2.22714e-11	0.01	9.0
-59.3759	10000	6.0
-6.03502e-13	1e-06	5.0
-0.0	1e-12	9.0
-6.41788e-13	1e-08	5.0
-0.0	0.0001	9.0
-107.817	1e-10	1.0
-0.000256629	1e-10	3.0
-0.000256629	1e-12	3.0
-0.000256629	1e-12	3.0
-59.3759	100	2.0
-0.0	1e-08	9.0
-4.16427e-09	1e-06	4.0
-4.02432e-05	0.0001	3.0
-0.0	1e-06	7.0
-0.0791201	1e-06	2.0
-59.3759	0.01	0.0
-2.22714e-11	0.01	7.0
-0.000256496	1e-06	3.0
-0.0	0.0001	7.0
-6.4262e-13	1e-12	5.0
-7.77558e-11	0.01	5.0
-59.3759	1e-06	0.0
-6.42619e-13	1e-10	5.0
-0.0	1e-06	9.0
-0.0	0.0001	6.0
-0.0791201	1e-06	2.0
-0.0311713	0.0001	2.0
-2.22714e-11	0.01	8.0
-59.3759	100	0.0
-0.0	1e-10	8.0
-0.0791201	1e-06	2.0
-2.22819e-11	0.01	6.0
-0.0	1e-12	7.0
-4.02432e-05	0.0001	3.0
-0.0	0.0001	8.0
-0.000256629	1e-10	3.0
-0.0	1e-08	6.0
-6.42619e-13	1e-10	5.0
-59.3759	100	9.0
-0.0	1e-06	7.0
-0.0	1e-08	7.0
-0.0791119	1e-08	2.0
-59.3759	100	4.0
-0.0	1e-10	8.0
-0.0	1e-12	6.0
-0.0311713	0.0001	2.0
-0.0311713	0.0001	2.0
-3.13479e-05	0.01	3.0
-2.03243e-09	0.01	4.0
-6.41788e-13	1e-08	5.0
-0.0192651	0.01	2.0
-0.0791447	1e-12	2.0
-0.0	1e-08	8.0
-0.0	1e-06	8.0
-0.0	1e-08	6.0
-59.3759	10000	2.0
-59.3759	1	2.0
-0.0	0.0001	7.0
-2.03243e-09	0.01	4.0
-0.0	1e-06	6.0
-0.0	1e-12	8.0
-6.03502e-13	1e-06	5.0
-4.29672e-09	1e-08	4.0
-0.0	1e-10	7.0
-0.0192651	0.01	2.0
-0.0	1e-06	8.0
-7.04955e-17	0.0001	5.0
-7.77558e-11	0.01	5.0
-0.0	1e-10	6.0
-0.000256629	1e-10	3.0
-4.29672e-09	1e-08	4.0
-0.0	1e-06	6.0
-107.817	1e-06	1.0
-0.0311713	0.0001	2.0
-107.817	1e-06	1.0
-0.0791119	1e-08	2.0
-0.0791119	1e-08	2.0
-4.16427e-09	1e-06	4.0
-0.000256496	1e-06	3.0
-7.99048e-12	0.0001	4.0
-2.22714e-11	0.01	8.0
-0.0	0.0001	7.0
-0.0791119	1e-08	2.0
-0.0	0.0001	8.0
-4.29859e-09	1e-12	4.0
-2.22714e-11	0.01	7.0
-99.9933	0.0001	1.0
-59.3759	100	7.0
-59.3759	10000	7.0
-4.02432e-05	0.0001	3.0
-2.22714e-11	0.01	7.0
-0.0	1e-08	6.0
-0.0	0.0001	9.0
-0.0	1e-08	7.0
-6.03502e-13	1e-06	5.0
-0.0	1e-10	9.0
-0.0192651	0.01	2.0
-4.29672e-09	1e-08	4.0
-0.0791201	1e-06	2.0
-0.0	1e-12	7.0
-2.22819e-11	0.01	6.0
-0.0311713	0.0001	2.0
-2.22819e-11	0.01	6.0
-6.42619e-13	1e-10	5.0
-0.0791201	1e-06	2.0
-59.3759	10000	5.0
-0.0	1e-12	8.0
-6.42619e-13	1e-10	5.0
-0.0192651	0.01	2.0
-0.0	1e-08	7.0
-3.13479e-05	0.01	3.0
-0.0	1e-10	6.0
-0.0	1e-08	9.0
-0.0	0.0001	6.0
-107.817	1e-12	1.0
-0.0791447	1e-12	2.0
-59.3759	1e-10	0.0
-0.0	1e-12	6.0
-0.0	1e-10	9.0
-59.3759	1	5.0
-2.22819e-11	0.01	6.0
-0.0	1e-06	8.0
-0.0	1e-10	8.0
-0.0791447	1e-10	2.0
-0.0	1e-08	9.0
-6.03502e-13	1e-06	5.0
-0.000256628	1e-08	3.0
-2.22714e-11	0.01	7.0
-4.29859e-09	1e-12	4.0
-2.22714e-11	0.01	9.0
-7.77558e-11	0.01	5.0
-0.0	1e-10	7.0
-0.0	0.0001	6.0
-4.29859e-09	1e-10	4.0
-0.0	1e-06	9.0
-0.0	1e-10	6.0
-7.99048e-12	0.0001	4.0
-59.3759	1	7.0
-59.3759	1	8.0
-59.3759	100	6.0
-0.0	1e-12	9.0
-4.16427e-09	1e-06	4.0
-0.0	1e-08	7.0
-2.22714e-11	0.01	8.0
-2.22714e-11	0.01	9.0
-0.0791119	1e-08	2.0
-0.0	1e-06	7.0
-0.0	1e-12	7.0
-2.22714e-11	0.01	8.0
-6.41788e-13	1e-08	5.0
-0.0	1e-06	9.0
