Resnorm	Droptol	Fillfactor
-0.0	1e-12	9
-0.0	0.0001	9
-593669000000.0	10000	9
-5.04712e-07	1e-12	4
-5.04525e-07	0.0001	4
-593669000000.0	10000	4
-593669000000.0	1e-12	0
-593669000000.0	0.0001	0
-593669000000.0	10000	0
-5.04525e-07	0.0001	4.0
-0.0	1e-08	7.0
-0.0	1e-12	6.0
-0.0	0.0001	6.0
-0.0	1e-08	9.0
-5.04711e-07	1e-10	4.0
-1150.91	0.01	8.0
-0.0	1e-10	9.0
-0.0	1e-10	5.0
-0.0	1e-06	5.0
-1150.91	0.01	9.0
-0.0	0.0001	6.0
-0.0	0.0001	5.0
-0.0	1e-06	8.0
-1150.91	0.01	8.0
-644.947	0.01	5.0
-0.0	1e-12	5.0
-0.0	1e-10	8.0
-0.0	1e-08	5.0
-5.04711e-07	1e-10	4.0
-0.0	1e-06	6.0
-0.0	1e-12	8.0
-0.0	1e-08	8.0
-296156.0	1e-08	3.0
-593669000000.0	1	7.0
-1528940.0	0.01	3.0
-296156.0	1e-06	3.0
-593669000000.0	1e-08	0.0
-905.476	0.01	4.0
-593669000000.0	1	1.0
-0.0	1e-06	9.0
-593669000000.0	1	4.0
-1182570000.0	0.01	2.0
-1152.87	0.01	6.0
-296174.0	1e-10	3.0
-0.0	0.0001	8.0
-0.0	1e-10	6.0
-296174.0	1e-12	3.0
-593669000000.0	1	9.0
-0.0	1e-08	8.0
-1528940.0	0.01	3.0
-5.04525e-07	1e-08	4.0
-296156.0	0.0001	3.0
-353755000.0	1e-06	2.0
-1182570000.0	0.01	2.0
-0.0	0.0001	5.0
-0.0	1e-10	6.0
-0.0	1e-06	5.0
-1150.91	0.01	9.0
-296156.0	1e-08	3.0
-593669000000.0	10000	6.0
-0.0	1e-08	6.0
-0.0	1e-12	9.0
-0.0	1e-06	9.0
-5.04525e-07	1e-06	4.0
-1079430000000.0	1e-10	1.0
-296174.0	1e-10	3.0
-296174.0	1e-12	3.0
-593669000000.0	100	2.0
-0.0	1e-08	9.0
-353755000.0	1e-06	2.0
-296174.0	1e-12	3.0
-296156.0	0.0001	3.0
-0.0	1e-06	7.0
-1000610000000.0	0.01	1.0
-593669000000.0	1e-06	0.0
-296156.0	1e-06	3.0
-1150.91	0.01	7.0
-0.0	0.0001	7.0
-353755000.0	1e-06	2.0
-0.0	1e-10	5.0
-593669000000.0	100	0.0
-644.947	0.01	5.0
-0.0	0.0001	6.0
-296156.0	0.0001	3.0
-0.0	1e-10	7.0
-353755000.0	1e-06	2.0
-593669000000.0	100	9.0
-0.0	0.0001	9.0
-1150.91	0.01	8.0
-1152.87	0.01	6.0
-0.0	1e-12	5.0
-0.0	1e-12	7.0
-0.0	1e-06	7.0
-0.0	0.0001	8.0
-0.0	1e-10	8.0
-296174.0	1e-10	3.0
-353755000.0	1e-08	2.0
-1528940.0	0.01	3.0
-593669000000.0	1	3.0
-0.0	1e-08	6.0
-593669000000.0	100	5.0
-905.476	0.01	4.0
-0.0	1e-10	5.0
-0.0	1e-12	6.0
-593669000000.0	10000	2.0
-0.0	1e-08	8.0
-353881000.0	1e-12	2.0
-0.0	1e-08	5.0
-905.476	0.01	4.0
-353755000.0	0.0001	2.0
-0.0	1e-06	6.0
-0.0	1e-10	6.0
-0.0	1e-06	5.0
-0.0	1e-08	7.0
-0.0	1e-08	8.0
-296156.0	1e-08	3.0
-0.0	1e-10	9.0
-0.0	0.0001	7.0
-0.0	1e-06	8.0
-353755000.0	0.0001	2.0
-5.04525e-07	1e-08	4.0
-0.0	0.0001	5.0
-296174.0	1e-10	3.0
-5.04525e-07	1e-06	4.0
-0.0	0.0001	6.0
-0.0	1e-06	8.0
-0.0	1e-12	7.0
-353881000.0	1e-12	2.0
-353755000.0	0.0001	2.0
-0.0	1e-10	7.0
-644.947	0.01	5.0
-353755000.0	1e-08	2.0
-0.0	0.0001	7.0
-0.0	1e-06	5.0
-1152.87	0.01	6.0
-1150.91	0.01	7.0
-0.0	1e-08	7.0
-0.0	1e-10	8.0
-5.04525e-07	0.0001	4.0
-353755000.0	1e-08	2.0
-353755000.0	1e-08	2.0
-0.0	0.0001	6.0
-0.0	0.0001	9.0
-0.0	1e-08	6.0
-296156.0	0.0001	3.0
-1150.91	0.01	8.0
-1150.91	0.01	7.0
-0.0	1e-08	9.0
-0.0	1e-12	6.0
-0.0	0.0001	9.0
-1000640000000.0	1e-08	1.0
-353755000.0	1e-06	2.0
-5.04525e-07	1e-08	4.0
-353755000.0	1e-06	2.0
-353755000.0	1e-06	2.0
-0.0	1e-10	6.0
-5.04712e-07	1e-12	4.0
-1152.87	0.01	6.0
-0.0	1e-12	8.0
-0.0	1e-12	8.0
-1528940.0	0.01	3.0
-353755000.0	1e-06	2.0
-0.0	1e-08	5.0
-644.947	0.01	5.0
-5.04711e-07	1e-10	4.0
-296156.0	1e-08	3.0
-1150.91	0.01	7.0
-1150.91	0.01	9.0
-0.0	1e-06	8.0
-0.0	1e-08	7.0
-0.0	1e-12	5.0
-0.0	1e-06	9.0
-0.0	0.0001	6.0
-0.0	1e-12	7.0
-0.0	1e-10	5.0
-296156.0	1e-06	3.0
-0.0	1e-10	9.0
-0.0	1e-10	6.0
-0.0	1e-08	9.0
-1528940.0	0.01	3.0
-0.0	1e-08	6.0
-0.0	1e-12	9.0
-0.0	1e-10	7.0
-0.0	1e-08	6.0
-0.0	1e-06	5.0
-0.0	1e-06	7.0
-353755000.0	0.0001	2.0
-296156.0	0.0001	3.0
-5.04711e-07	1e-10	4.0
-644.947	0.01	5.0
-1528940.0	0.01	3.0
-353755000.0	1e-08	2.0
-0.0	0.0001	8.0
-296174.0	1e-10	3.0
-1150.91	0.01	8.0
-593669000000.0	1	8.0
-1150.91	0.01	7.0
-1150.91	0.01	9.0
-1150.91	0.01	8.0
-1152.87	0.01	6.0
-0.0	1e-10	8.0
-1150.91	0.01	7.0
-593669000000.0	1	6.0
-593669000000.0	10000	6.0
-593669000000.0	1	0.0
-0.0	0.0001	8.0
-296156.0	1e-06	3.0
-5.04525e-07	1e-08	4.0
-296174.0	1e-12	3.0
