Resnorm	Droptol	Fillfactor
-0.0	1e-12	9
-0.0	0.0001	9
-593670.0	10000	9
-6.34712e-13	1e-12	4
-4.39361e-13	0.0001	4
-593670.0	10000	4
-593670.0	1e-12	0
-593670.0	0.0001	0
-593670.0	10000	0
-4.39361e-13	0.0001	4.0
-0.0	1e-08	7.0
-0.0	1e-12	6.0
-0.0	0.0001	6.0
-0.0	1e-08	9.0
-6.34666e-13	1e-10	4.0
-0.000911711	0.01	8.0
-0.0	1e-10	9.0
-0.0	1e-10	5.0
-0.0	1e-06	5.0
-0.000911711	0.01	9.0
-0.0	0.0001	6.0
-0.000911711	0.01	9.0
-0.0	1e-06	9.0
-0.0	0.0001	5.0
-0.000508573	0.01	5.0
-0.0	1e-12	5.0
-0.0	1e-10	8.0
-0.0	1e-06	8.0
-0.0	1e-08	5.0
-6.34666e-13	1e-10	4.0
-0.0	1e-08	8.0
-0.0	1e-12	8.0
-0.302437	1e-08	3.0
-593670.0	1	7.0
-1.37923	0.01	3.0
-0.308146	1e-06	3.0
-593670.0	1e-08	0.0
-0.000739305	0.01	4.0
-593670.0	1	1.0
-0.0	0.0001	8.0
-593670.0	1	4.0
-1237.55	0.01	2.0
-0.000913276	0.01	6.0
-0.302435	1e-10	3.0
-0.0	1e-06	6.0
-0.0	1e-10	6.0
-0.302435	1e-12	3.0
-1.37923	0.01	3.0
-593670.0	1	9.0
-1237.55	0.01	2.0
-6.34722e-13	1e-08	4.0
-0.308162	0.0001	3.0
-0.0	0.0001	8.0
-370.747	1e-06	2.0
-0.000508573	0.01	5.0
-0.0	1e-08	8.0
-0.0	1e-10	6.0
-0.0	1e-12	9.0
-0.302437	1e-08	3.0
-593670.0	10000	6.0
-4.39278e-13	1e-06	4.0
-0.0	1e-08	9.0
-0.0	1e-06	5.0
-1079420.0	1e-10	1.0
-0.302435	1e-10	3.0
-0.302435	1e-12	3.0
-0.302435	1e-12	3.0
-593670.0	100	2.0
-0.0	0.0001	9.0
-0.308162	0.0001	3.0
-370.747	1e-06	2.0
-0.0	1e-08	5.0
-0.0	0.0001	7.0
-1000610.0	0.01	1.0
-593670.0	1e-06	0.0
-0.308146	1e-06	3.0
-0.000911711	0.01	7.0
-0.0	1e-06	7.0
-370.747	1e-06	2.0
-0.0	1e-10	5.0
-593670.0	100	0.0
-370.747	1e-06	2.0
-0.0	1e-06	9.0
-0.0	0.0001	6.0
-0.308162	0.0001	3.0
-0.0	1e-06	8.0
-0.0	1e-12	5.0
-0.0	1e-08	7.0
-0.000508573	0.01	5.0
-0.000911711	0.01	9.0
-0.0	1e-12	7.0
-0.0	1e-10	7.0
-593670.0	100	5.0
-0.000911711	0.01	8.0
-0.0	1e-08	6.0
-593670.0	1	3.0
-357.291	1e-08	2.0
-0.000739305	0.01	4.0
-1.37923	0.01	3.0
-357.292	1e-12	2.0
-0.0	1e-12	6.0
-0.0	1e-10	8.0
-0.0	0.0001	8.0
-6.34666e-13	1e-10	4.0
-0.0	1e-06	6.0
-0.000911711	0.01	7.0
-0.0	1e-08	7.0
-0.000739305	0.01	4.0
-0.0	0.0001	9.0
-0.0	1e-12	8.0
-593670.0	10000	2.0
-0.0	1e-08	5.0
-370.747	0.0001	2.0
-0.0	1e-08	8.0
-0.302435	1e-10	3.0
-593670.0	1	8.0
-0.0	0.0001	5.0
-593670.0	100	9.0
-0.0	1e-10	6.0
-0.000911711	0.01	8.0
-4.39361e-13	0.0001	4.0
-6.34722e-13	1e-08	4.0
-0.302435	1e-10	3.0
-370.747	0.0001	2.0
-0.302437	1e-08	3.0
-0.0	1e-10	7.0
-370.747	0.0001	2.0
-0.000911711	0.01	7.0
-0.0	1e-06	5.0
-0.0	1e-10	8.0
-0.0	0.0001	7.0
-0.000913276	0.01	6.0
-0.000508573	0.01	5.0
-0.0	1e-08	6.0
-357.291	1e-08	2.0
-0.0	1e-06	9.0
-1.37923	0.01	3.0
-1.37923	0.01	3.0
-0.0	1e-08	8.0
-0.0	1e-06	6.0
-0.302435	1e-12	3.0
-357.291	1e-08	2.0
-0.0	1e-12	7.0
-4.39278e-13	1e-06	4.0
-0.0	0.0001	8.0
-0.0	1e-06	5.0
-0.0	1e-06	7.0
-0.0	1e-12	6.0
-6.34712e-13	1e-12	4.0
-0.0	1e-06	8.0
-0.0	0.0001	7.0
-0.0	1e-10	5.0
-0.0	1e-12	8.0
-6.34722e-13	1e-08	4.0
-0.308162	0.0001	3.0
-0.0	1e-10	9.0
-0.0	0.0001	8.0
-1079420.0	1e-08	1.0
-357.291	1e-08	2.0
-357.291	1e-08	2.0
-370.747	1e-06	2.0
-370.747	1e-06	2.0
-370.747	1e-06	2.0
-0.0	0.0001	9.0
-0.0	1e-08	7.0
-0.0	0.0001	6.0
-0.0	1e-06	5.0
-0.000913276	0.01	6.0
-0.0	1e-10	5.0
-0.000508573	0.01	5.0
-0.0	1e-10	6.0
-4.39278e-13	1e-06	4.0
-0.000911711	0.01	7.0
-0.302437	1e-08	3.0
-0.0	1e-08	9.0
-370.747	0.0001	2.0
-0.0	1e-12	5.0
-0.0	1e-12	5.0
-0.0	0.0001	6.0
-0.0	1e-12	7.0
-0.0	1e-10	7.0
-0.0	1e-10	9.0
-0.0	1e-08	6.0
-1237.55	0.01	2.0
-0.302435	1e-10	3.0
-0.0	1e-06	8.0
-1.37923	0.01	3.0
-0.0	0.0001	5.0
-0.0	1e-06	8.0
-0.302437	1e-08	3.0
-0.0	1e-08	7.0
-593670.0	1	0.0
-6.34666e-13	1e-10	4.0
-0.0	1e-06	6.0
-0.0	1e-08	7.0
-0.0	1e-10	6.0
-0.0	1e-06	9.0
-0.000911711	0.01	8.0
-0.0	1e-08	6.0
-0.302435	1e-10	3.0
-0.0	0.0001	6.0
-4.39361e-13	0.0001	4.0
-0.0	1e-08	5.0
-0.0	1e-08	9.0
-0.0	1e-08	9.0
-0.0	1e-06	7.0
-0.000508573	0.01	5.0
-0.0	1e-12	9.0
-0.302435	1e-10	3.0
