Resnorm	Droptol	Fillfactor
-0.0	1e-12	9
-0.0	0.0001	9
-5936.78	10000	9
-6.57058e-14	1e-12	4
-2.76428e-15	0.0001	4
-5936.78	10000	4
-5936.78	1e-12	0
-5936.78	0.0001	0
-5936.78	10000	0
-2.76428e-15	0.0001	4.0
-0.0	1e-08	7.0
-0.0	1e-12	6.0
-0.0	0.0001	6.0
-0.0	1e-08	9.0
-6.57054e-14	1e-10	4.0
-1.11731e-06	0.01	8.0
-0.0	1e-10	9.0
-0.0	1e-10	5.0
-0.0	1e-06	5.0
-1.11731e-06	0.01	9.0
-0.0	0.0001	6.0
-0.0	0.0001	5.0
-0.0	1e-06	8.0
-1.11731e-06	0.01	8.0
-6.65591e-07	0.01	5.0
-0.0	1e-12	5.0
-0.0	1e-10	8.0
-0.0	1e-08	5.0
-6.57054e-14	1e-10	4.0
-0.0	1e-06	6.0
-0.0	1e-08	8.0
-1.11898e-06	0.01	6.0
-0.00357416	1e-08	3.0
-5936.78	1	7.0
-0.00863828	0.01	3.0
-0.0035717	1e-06	3.0
-5936.78	1e-08	0.0
-1.11974e-06	0.01	4.0
-5936.78	1	1.0
-5936.78	1	4.0
-11.4783	0.01	2.0
-0.00357416	1e-10	3.0
-0.0	0.0001	8.0
-0.00357416	1e-12	3.0
-0.0	1e-10	7.0
-0.0	1e-12	8.0
-0.0	1e-06	9.0
-5936.78	1	9.0
-11.4783	0.01	2.0
-6.56333e-14	1e-08	4.0
-0.0	1e-08	8.0
-0.00213985	0.0001	3.0
-0.00863828	0.01	3.0
-3.92382	1e-06	2.0
-0.0	1e-10	6.0
-0.00357416	1e-08	3.0
-0.0	1e-06	5.0
-1.11731e-06	0.01	9.0
-5936.78	10000	6.0
-0.0	0.0001	5.0
-0.0	1e-08	5.0
-0.0	1e-12	9.0
-0.0	1e-06	9.0
-6.35894e-14	1e-06	4.0
-10793.1	1e-10	1.0
-0.00357416	1e-10	3.0
-0.00357416	1e-12	3.0
-5936.78	100	2.0
-0.00357416	1e-12	3.0
-1.11731e-06	0.01	7.0
-0.00213985	0.0001	3.0
-0.0	1e-06	7.0
-0.0	1e-08	9.0
-4.24696	0.0001	2.0
-0.0	1e-10	5.0
-0.0035717	1e-06	3.0
-0.0	0.0001	7.0
-1.11731e-06	0.01	7.0
-0.00213985	0.0001	3.0
-5936.78	1e-06	0.0
-10005.4	0.01	1.0
-3.92382	1e-06	2.0
-6.65591e-07	0.01	5.0
-5936.78	100	0.0
-5936.78	100	9.0
-0.0	1e-12	5.0
-0.0	1e-10	8.0
-3.92378	1e-08	2.0
-0.0	1e-10	5.0
-1.11731e-06	0.01	8.0
-0.0	0.0001	6.0
-5936.78	100	5.0
-0.0	1e-08	6.0
-0.0	1e-12	8.0
-0.0	0.0001	8.0
-3.92382	1e-06	2.0
-0.0	0.0001	8.0
-0.0	1e-08	7.0
-0.00357416	1e-10	3.0
-0.0	1e-06	7.0
-5936.78	1	2.0
-0.00863828	0.01	3.0
-0.0	1e-12	7.0
-0.0	1e-12	6.0
-5936.78	10000	2.0
-0.0	1e-08	5.0
-1.11974e-06	0.01	4.0
-3.92382	1e-06	2.0
-0.0	1e-08	8.0
-0.0	1e-06	6.0
-1.11898e-06	0.01	6.0
-3.92373	1e-12	2.0
-0.0	1e-08	6.0
-0.0	1e-10	6.0
-3.92378	1e-08	2.0
-0.0	1e-06	8.0
-3.92378	1e-08	2.0
-0.0	1e-10	8.0
-0.0	1e-06	6.0
-0.0	1e-10	7.0
-6.35894e-14	1e-06	4.0
-0.0	1e-06	6.0
-0.00357416	1e-10	3.0
-0.0	1e-08	8.0
-4.24696	0.0001	2.0
-4.24696	0.0001	2.0
-0.0	0.0001	7.0
-0.00863828	0.01	3.0
-0.0	0.0001	7.0
-6.56333e-14	1e-08	4.0
-6.65591e-07	0.01	5.0
-3.92373	1e-12	2.0
-0.00357416	1e-08	3.0
-2.76428e-15	0.0001	4.0
-1.11898e-06	0.01	6.0
-1.11898e-06	0.01	6.0
-0.0	0.0001	9.0
-0.0	1e-12	8.0
-0.0	1e-08	6.0
-0.0	1e-10	5.0
-6.57058e-14	1e-12	4.0
-0.0	1e-06	5.0
-0.0	1e-12	6.0
-1.11731e-06	0.01	8.0
-1.11898e-06	0.01	6.0
-0.0	1e-08	7.0
-0.0	1e-08	9.0
-0.00213985	0.0001	3.0
-0.0	1e-06	9.0
-0.00863828	0.01	3.0
-6.56333e-14	1e-08	4.0
-0.0	0.0001	5.0
-0.0	0.0001	9.0
-0.0	1e-10	9.0
-0.0	1e-10	5.0
-0.0	0.0001	5.0
-0.0	1e-06	8.0
-3.92378	1e-10	2.0
-0.0	1e-10	7.0
-4.24696	0.0001	2.0
-1.11731e-06	0.01	7.0
-0.0	1e-08	7.0
-3.92378	1e-08	2.0
-0.0	1e-06	5.0
-6.57054e-14	1e-10	4.0
-0.0035717	1e-06	3.0
-0.0	1e-10	8.0
-0.0	1e-12	7.0
-1.11731e-06	0.01	8.0
-0.0	0.0001	5.0
-0.0	1e-12	5.0
-2.76428e-15	0.0001	4.0
-0.00357416	1e-08	3.0
-0.00357416	1e-10	3.0
-0.00357416	1e-10	3.0
-1.11731e-06	0.01	9.0
-0.0	0.0001	8.0
-0.0	1e-10	6.0
-0.00213985	0.0001	3.0
-0.0	1e-12	9.0
-3.92382	1e-06	2.0
-0.0	1e-06	7.0
-0.0	1e-06	8.0
-0.0	1e-10	6.0
-0.0	0.0001	7.0
-0.0	1e-12	7.0
-4.24696	0.0001	2.0
-0.0	1e-06	8.0
-0.0	1e-08	7.0
-0.00357416	1e-08	3.0
-3.92378	1e-08	2.0
-0.0	1e-06	5.0
-6.57054e-14	1e-10	4.0
-0.00357416	1e-12	3.0
-6.65591e-07	0.01	5.0
-1.11731e-06	0.01	8.0
-0.0	0.0001	8.0
-0.0	1e-12	6.0
-0.0	1e-10	5.0
-0.0	1e-08	5.0
-0.0035717	1e-06	3.0
-10005.7	0.0001	1.0
-3.92382	1e-06	2.0
-4.24696	0.0001	2.0
-3.92382	1e-06	2.0
-10793.1	1e-06	1.0
-3.92382	1e-06	2.0
-5936.78	10000	7.0
-5936.78	1	6.0
