Resnorm	Droptol	Fillfactor
-1.39233e-08	1e-12	9
-1.38553e-08	0.0001	9
-2.41059e-06	10000	9
-2.21749e-06	1e-12	4
-2.21766e-06	0.0001	4
-2.41059e-06	10000	4
-2.41059e-06	1e-12	0
-2.41059e-06	0.0001	0
-2.41059e-06	10000	0
-1.39233e-08	1e-08	9.0
-1.39176e-08	1e-06	9.0
-1.39233e-08	1e-10	9.0
-2.80769e-07	0.01	9.0
-1.39233e-08	1e-10	9.0
-1.39233e-08	1e-12	9.0
-1.38553e-08	0.0001	9.0
-1.39233e-08	1e-12	9.0
-1.39176e-08	1e-06	9.0
-1.39233e-08	1e-08	9.0
-3.6453e-08	1e-06	8.0
-3.66007e-08	0.0001	8.0
-6.04419e-07	1e-08	6.0
-2.41059e-06	1	7.0
-2.27192e-07	1e-10	7.0
-3.6453e-08	1e-06	8.0
-3.6453e-08	1e-12	8.0
-2.41059e-06	1e-08	0.0
-3.6453e-08	1e-08	8.0
-3.6453e-08	1e-12	8.0
-3.66007e-08	0.0001	8.0
-3.66007e-08	0.0001	8.0
-2.27625e-07	0.0001	7.0
-6.0442e-07	1e-06	6.0
-2.41059e-06	1	1.0
-3.66007e-08	0.0001	8.0
-2.21749e-06	1e-08	4.0
-2.41059e-06	1	9.0
-6.04419e-07	1e-12	6.0
-2.27192e-07	1e-10	7.0
-1.38553e-08	0.0001	9.0
-3.6453e-08	1e-10	8.0
-6.05181e-07	0.0001	6.0
-3.6453e-08	1e-08	8.0
-1.39233e-08	1e-10	9.0
-2.41059e-06	100	4.0
-6.04419e-07	1e-10	6.0
-2.41059e-06	10000	7.0
-1.39176e-08	1e-06	9.0
-2.27192e-07	1e-08	7.0
-1.39233e-08	1e-08	9.0
-2.27193e-07	1e-06	7.0
-3.6453e-08	1e-12	8.0
-1.39176e-08	1e-06	9.0
-1.38553e-08	0.0001	9.0
-2.66094e-06	1e-10	2.0
-2.66094e-06	1e-06	2.0
-1.7307e-06	0.01	4.0
-2.41059e-06	0.01	0.0
-3.35721e-07	0.01	8.0
-2.41059e-06	100	0.0
-1.39233e-08	1e-10	9.0
-1.39233e-08	1e-08	9.0
-6.05181e-07	0.0001	6.0
-2.41059e-06	100	2.0
-3.6453e-08	1e-08	8.0
-2.41059e-06	100	7.0
-3.6453e-08	1e-06	8.0
-1.66689e-06	1e-06	5.0
-1.66688e-06	1e-10	5.0
-1.39233e-08	1e-08	9.0
-2.27192e-07	1e-12	7.0
-1.38553e-08	0.0001	9.0
-1.39233e-08	1e-12	9.0
-2.63516e-06	0.01	2.0
-1.39176e-08	1e-06	9.0
-1.20952e-06	0.01	5.0
-2.27192e-07	1e-12	7.0
-2.80769e-07	0.01	9.0
-3.66007e-08	0.0001	8.0
-2.27192e-07	1e-10	7.0
-2.41059e-06	1e-10	0.0
-6.04419e-07	1e-08	6.0
-6.05181e-07	0.0001	6.0
-5.38776e-07	0.01	7.0
-2.41059e-06	1e-06	0.0
-2.66094e-06	1e-12	2.0
-6.04419e-07	1e-12	6.0
-2.27192e-07	1e-08	7.0
-3.6453e-08	1e-08	8.0
-1.39233e-08	1e-08	9.0
-2.27193e-07	1e-06	7.0
-1.39176e-08	1e-06	9.0
-2.27193e-07	1e-06	7.0
-3.6453e-08	1e-10	8.0
-1.39176e-08	1e-06	9.0
-3.35721e-07	0.01	8.0
-3.35721e-07	0.01	8.0
-3.6453e-08	1e-12	8.0
-3.6453e-08	1e-10	8.0
-2.66094e-06	1e-08	2.0
-6.04419e-07	1e-10	6.0
-1.38553e-08	0.0001	9.0
-1.39233e-08	1e-10	9.0
-1.38553e-08	0.0001	9.0
-1.66688e-06	1e-10	5.0
-2.27192e-07	1e-08	7.0
-1.66688e-06	1e-08	5.0
-3.6453e-08	1e-08	8.0
-2.27625e-07	0.0001	7.0
-3.6453e-08	1e-06	8.0
-2.41059e-06	100	9.0
-1.66741e-06	0.0001	5.0
-2.41059e-06	1	5.0
-3.35721e-07	0.01	8.0
-3.66007e-08	0.0001	8.0
-2.27192e-07	1e-10	7.0
-3.66007e-08	0.0001	8.0
-2.41059e-06	1	8.0
-5.38776e-07	0.01	7.0
-2.41059e-06	100	5.0
-2.41059e-06	100	3.0
-3.6453e-08	1e-06	8.0
-2.80769e-07	0.01	9.0
-6.05181e-07	0.0001	6.0
-3.66007e-08	0.0001	8.0
-6.04419e-07	1e-08	6.0
-2.27192e-07	1e-08	7.0
-3.6453e-08	1e-08	8.0
-2.27193e-07	1e-06	7.0
-3.35721e-07	0.01	8.0
-2.80769e-07	0.01	9.0
-1.39233e-08	1e-12	9.0
